timestamp,datetime,symbol,best_bid,best_ask,best_bid_size,best_ask_size,bid_depth_5,ask_depth_5,bid_depth_10,ask_depth_10,spread,spread_bps,mid_price,imbalance_5
2025-09-11 12:00:00.602,2025-09-11T13:00:00.602951,BTC/USDT,113999.99,114000.0,13.77661,82.67407,13.78358,82.68107,13.81466,82.68246,0.00999999999476131,0.0008771930589433658,113999.995,-0.7142252628294407
2025-09-11 12:00:20.240,2025-09-11T13:00:20.240134,BTC/USDT,114102.0,114102.01,2.98699,6.64345,2.99021,6.86057,3.08218,7.25373,0.00999999999476131,0.0008764088267305841,114102.005,-0.39289883643731766
2025-09-11 12:00:40.237,2025-09-11T13:00:40.237206,BTC/USDT,114081.8,114081.81,5.01794,9.51109,5.047350000000001,9.86159,5.6842500000000005,9.94108,0.00999999999476131,0.0008765640088744488,114081.805,-0.32290960993873463
2025-09-11 12:01:00.235,2025-09-11T13:01:00.235396,BTC/USDT,114139.42,114139.43,0.32325,7.08634,0.32932999999999996,7.15238,0.65904,7.2851799999999995,0.00999999999476131,0.0008761215007717151,114139.42499999999,-0.9119639761498375
2025-09-11 12:01:20.236,2025-09-11T13:01:20.236377,BTC/USDT,114166.89,114166.9,2.66837,4.95467,2.67036,5.03144,2.73554,5.05388,0.00999999999476131,0.0008759106948399234,114166.89499999999,-0.3065621023656807
2025-09-11 12:01:40.236,2025-09-11T13:01:40.236086,BTC/USDT,114166.89,114166.9,4.86708,5.77229,4.869079999999999,5.84708,5.00472,5.92635,0.00999999999476131,0.0008759106948399234,114166.89499999999,-0.09126403487816538
2025-09-11 12:02:00.237,2025-09-11T13:02:00.237308,BTC/USDT,114104.23,114104.24,0.00356,14.53667,0.32011,14.629040000000002,0.32045999999999997,15.81919,0.010000000009313226,0.0008763916998794196,114104.235,-0.9571734847800711
2025-09-11 12:02:20.235,2025-09-11T13:02:20.235199,BTC/USDT,114088.44,114088.45,0.38264,6.37279,0.41345,6.37762,0.414,6.3797500000000005,0.00999999999476131,0.000876512992443521,114088.445,-0.878237155558697
2025-09-11 12:02:40.233,2025-09-11T13:02:40.233998,BTC/USDT,114080.52,114080.53,0.37972,10.64078,0.39909,10.64165,0.40624,10.7865,0.00999999999476131,0.000876573844049914,114080.525,-0.9277059327545075
2025-09-11 12:03:00.237,2025-09-11T13:03:00.237865,BTC/USDT,114074.74,114074.75,0.35137,18.92205,0.35212,19.632929999999998,0.35467000000000004,20.42796,0.00999999999476131,0.0008766182587627471,114074.745,-0.964761659340357
2025-09-11 12:03:20.236,2025-09-11T13:03:20.236077,BTC/USDT,114046.15,114046.16,3.84159,5.13852,3.8715800000000002,5.412929999999999,3.87448,5.55551,0.010000000009313226,0.0008768380177071499,114046.155,-0.1660130690795744
